Year,Année,ISO,Jurisdiction,Juridiction,Product,Produit,Area (hectares),Data qualifier,Superficie (en hectare),Qualificatifs de données
1992,1992,YT,Yukon,Yukon,Fenitrothion,Fénitrothion,0,a,0,a
1992,1992,YT,Yukon,Yukon,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),0,a,0,a
1993,1993,AB,Alberta,Alberta,Fenitrothion,Fénitrothion,0,a,0,a
1993,1993,AB,Alberta,Alberta,Other insecticides,Autres insecticides,0,a,0,a
1993,1993,AB,Alberta,Alberta,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),8230,a,8230,a
1993,1993,BC,British Columbia,Colombie-Britannique,Fenitrothion,Fénitrothion,0,a,0,a
1993,1993,BC,British Columbia,Colombie-Britannique,Other insecticides,Autres insecticides,597,a,597,a
1993,1993,BC,British Columbia,Colombie-Britannique,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),34101,a,34101,a
1993,1993,MB,Manitoba,Manitoba,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),0,a,0,a
1993,1993,MB,Manitoba,Manitoba,Fenitrothion,Fénitrothion,0,a,0,a
1993,1993,MB,Manitoba,Manitoba,Other insecticides,Autres insecticides,0,a,0,a
1993,1993,NB,New Brunswick,Nouveau-Brunswick,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),70208,a,70208,a
1993,1993,NB,New Brunswick,Nouveau-Brunswick,Fenitrothion,Fénitrothion,72987,a,72987,a
1993,1993,NB,New Brunswick,Nouveau-Brunswick,Other insecticides,Autres insecticides,7000,a,7000,a
1993,1993,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),15424,a,15424,a
1993,1993,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Fenitrothion,Fénitrothion,0,a,0,a
1993,1993,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Other insecticides,Autres insecticides,0,a,0,a
1993,1993,NS,Nova Scotia,Nouvelle-Écosse,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),0,a,0,a
1993,1993,NS,Nova Scotia,Nouvelle-Écosse,Fenitrothion,Fénitrothion,0,a,0,a
1993,1993,NS,Nova Scotia,Nouvelle-Écosse,Other insecticides,Autres insecticides,0,a,0,a
1993,1993,NT,Northwest Territories,Territoires du Nord-Ouest,Other insecticides,Autres insecticides,,n,,n
1993,1993,NT,Northwest Territories,Territoires du Nord-Ouest,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),,n,,n
1993,1993,NT,Northwest Territories,Territoires du Nord-Ouest,Fenitrothion,Fénitrothion,,n,,n
1993,1993,ON,Ontario,Ontario,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),291,a,291,a
1993,1993,ON,Ontario,Ontario,Fenitrothion,Fénitrothion,0,a,0,a
1993,1993,ON,Ontario,Ontario,Other insecticides,Autres insecticides,0,a,0,a
1993,1993,PE,Prince Edward Island,Île-du-Prince-Édouard,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),0,a,0,a
1993,1993,PE,Prince Edward Island,Île-du-Prince-Édouard,Fenitrothion,Fénitrothion,0,a,0,a
1993,1993,PE,Prince Edward Island,Île-du-Prince-Édouard,Other insecticides,Autres insecticides,0,a,0,a
1993,1993,QC,Quebec,Québec,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),0,a,0,a
1993,1993,QC,Quebec,Québec,Fenitrothion,Fénitrothion,0,a,0,a
1993,1993,QC,Quebec,Québec,Other insecticides,Autres insecticides,0,a,0,a
1993,1993,SK,Saskatchewan,Saskatchewan,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),34000,a,34000,a
1993,1993,SK,Saskatchewan,Saskatchewan,Fenitrothion,Fénitrothion,0,a,0,a
1993,1993,SK,Saskatchewan,Saskatchewan,Other insecticides,Autres insecticides,0,a,0,a
1993,1993,YT,Yukon,Yukon,Other insecticides,Autres insecticides,0,a,0,a
1993,1993,YT,Yukon,Yukon,Fenitrothion,Fénitrothion,0,a,0,a
1993,1993,YT,Yukon,Yukon,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),0,a,0,a
1994,1994,AB,Alberta,Alberta,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),14253,a,14253,a
1994,1994,AB,Alberta,Alberta,Fenitrothion,Fénitrothion,0,a,0,a
1994,1994,AB,Alberta,Alberta,Other insecticides,Autres insecticides,0,a,0,a
1994,1994,BC,British Columbia,Colombie-Britannique,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),20916,a,20916,a
1994,1994,BC,British Columbia,Colombie-Britannique,Fenitrothion,Fénitrothion,0,a,0,a
1994,1994,BC,British Columbia,Colombie-Britannique,Other insecticides,Autres insecticides,147,a,147,a
1994,1994,MB,Manitoba,Manitoba,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),0,a,0,a
1994,1994,MB,Manitoba,Manitoba,Other insecticides,Autres insecticides,400,a,400,a
1994,1994,MB,Manitoba,Manitoba,Fenitrothion,Fénitrothion,0,a,0,a
1994,1994,NB,New Brunswick,Nouveau-Brunswick,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),17558,a,17558,a
1994,1994,NB,New Brunswick,Nouveau-Brunswick,Fenitrothion,Fénitrothion,4709,a,4709,a
1994,1994,NB,New Brunswick,Nouveau-Brunswick,Other insecticides,Autres insecticides,0,a,0,a
1994,1994,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),10719,a,10719,a
1994,1994,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Fenitrothion,Fénitrothion,0,a,0,a
1994,1994,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Other insecticides,Autres insecticides,0,a,0,a
1994,1994,NS,Nova Scotia,Nouvelle-Écosse,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),0,a,0,a
1994,1994,NS,Nova Scotia,Nouvelle-Écosse,Fenitrothion,Fénitrothion,0,a,0,a
1994,1994,NS,Nova Scotia,Nouvelle-Écosse,Other insecticides,Autres insecticides,0,a,0,a
1994,1994,NT,Northwest Territories,Territoires du Nord-Ouest,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),,n,,n
1994,1994,NT,Northwest Territories,Territoires du Nord-Ouest,Fenitrothion,Fénitrothion,,n,,n
1994,1994,NT,Northwest Territories,Territoires du Nord-Ouest,Other insecticides,Autres insecticides,,n,,n
1994,1994,ON,Ontario,Ontario,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),21499,a,21499,a
1994,1994,ON,Ontario,Ontario,Other insecticides,Autres insecticides,0,a,0,a
1994,1994,ON,Ontario,Ontario,Fenitrothion,Fénitrothion,0,a,0,a
1994,1994,PE,Prince Edward Island,Île-du-Prince-Édouard,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),0,a,0,a
1994,1994,PE,Prince Edward Island,Île-du-Prince-Édouard,Fenitrothion,Fénitrothion,0,a,0,a
1994,1994,PE,Prince Edward Island,Île-du-Prince-Édouard,Other insecticides,Autres insecticides,0,a,0,a
1994,1994,QC,Quebec,Québec,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),0,a,0,a
1994,1994,QC,Quebec,Québec,Fenitrothion,Fénitrothion,0,a,0,a
1994,1994,QC,Quebec,Québec,Other insecticides,Autres insecticides,0,a,0,a
1994,1994,SK,Saskatchewan,Saskatchewan,Other insecticides,Autres insecticides,0,a,0,a
