Year,Année,ISO,Jurisdiction,Juridiction,Revenues,Revenus,Value (dollars),Data qualifier,Valeur (en dollar),Qualificatifs de données
1992,1992,BC,British Columbia,Colombie-Britannique,Protection fees,Coût de protection du territoire,,u,,u
1992,1992,BC,British Columbia,Colombie-Britannique,Permit and licence fees (export fees),"Permis et frais de tenure (frais d'exportation)",14049000,a,14049000,a
1992,1992,BC,British Columbia,Colombie-Britannique,Sales and rentals,Ventes et locations,,u,,u
1992,1992,BC,British Columbia,Colombie-Britannique,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",1631000,a,1631000,a
1992,1992,MB,Manitoba,Manitoba,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",5000,a,5000,a
1992,1992,MB,Manitoba,Manitoba,Sales and rentals,Ventes et locations,160000,a,160000,a
1992,1992,MB,Manitoba,Manitoba,Permit and licence fees (export fees),"Permis et frais de tenure (frais d'exportation)",63000,a,63000,a
1992,1992,MB,Manitoba,Manitoba,Protection fees,Coût de protection du territoire,114000,a,114000,a
1992,1992,MB,Manitoba,Manitoba,Reforestation levies,Droits de reboisement,481000,a,481000,a
1992,1992,MB,Manitoba,Manitoba,Area/holding charges,Droits de location ou de jouissance,0,a,0,a
1992,1992,MB,Manitoba,Manitoba,Rent charges,Frais de location,0,a,0,a
1992,1992,MB,Manitoba,Manitoba,Stumpage charges,Droits de coupe,2039000,a,2039000,a
1992,1992,NB,New Brunswick,Nouveau-Brunswick,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",,u,,u
1992,1992,NB,New Brunswick,Nouveau-Brunswick,Sales and rentals,Ventes et locations,,u,,u
1992,1992,NB,New Brunswick,Nouveau-Brunswick,Permit and licence fees (export fees),"Permis et frais de tenure (frais d'exportation)",,u,,u
1992,1992,NB,New Brunswick,Nouveau-Brunswick,Protection fees,Coût de protection du territoire,,u,,u
1992,1992,NB,New Brunswick,Nouveau-Brunswick,Reforestation levies,Droits de reboisement,0,a,0,a
1992,1992,NB,New Brunswick,Nouveau-Brunswick,Area/holding charges,Droits de location ou de jouissance,0,a,0,a
1992,1992,NB,New Brunswick,Nouveau-Brunswick,Rent charges,Frais de location,,u,,u
1992,1992,NB,New Brunswick,Nouveau-Brunswick,Stumpage charges,Droits de coupe,,u,,u
1992,1992,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",4000,a,4000,a
1992,1992,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Sales and rentals,Ventes et locations,10000,a,10000,a
1992,1992,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Permit and licence fees (export fees),"Permis et frais de tenure (frais d'exportation)",220000,a,220000,a
1992,1992,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Protection fees,Coût de protection du territoire,0,a,0,a
1992,1992,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Reforestation levies,Droits de reboisement,0,a,0,a
1992,1992,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Area/holding charges,Droits de location ou de jouissance,0,a,0,a
1992,1992,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Rent charges,Frais de location,0,a,0,a
1992,1992,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Stumpage charges,Droits de coupe,867000,a,867000,a
1992,1992,NS,Nova Scotia,Nouvelle-Écosse,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",0,a,0,a
1992,1992,NS,Nova Scotia,Nouvelle-Écosse,Sales and rentals,Ventes et locations,0,a,0,a
1992,1992,NS,Nova Scotia,Nouvelle-Écosse,Permit and licence fees (export fees),"Permis et frais de tenure (frais d'exportation)",0,a,0,a
1992,1992,NS,Nova Scotia,Nouvelle-Écosse,Protection fees,Coût de protection du territoire,0,a,0,a
1992,1992,NS,Nova Scotia,Nouvelle-Écosse,Reforestation levies,Droits de reboisement,0,a,0,a
1992,1992,NS,Nova Scotia,Nouvelle-Écosse,Area/holding charges,Droits de location ou de jouissance,0,a,0,a
1992,1992,NS,Nova Scotia,Nouvelle-Écosse,Rent charges,Frais de location,0,a,0,a
1992,1992,NS,Nova Scotia,Nouvelle-Écosse,Stumpage charges,Droits de coupe,2626000,a,2626000,a
1992,1992,NT,Northwest Territories,Territoires du Nord-Ouest,Stumpage charges,Droits de coupe,,u,,u
1992,1992,NT,Northwest Territories,Territoires du Nord-Ouest,Rent charges,Frais de location,,n,,n
1992,1992,NT,Northwest Territories,Territoires du Nord-Ouest,Area/holding charges,Droits de location ou de jouissance,,n,,n
1992,1992,NT,Northwest Territories,Territoires du Nord-Ouest,Reforestation levies,Droits de reboisement,,u,,u
1992,1992,NT,Northwest Territories,Territoires du Nord-Ouest,Sales and rentals,Ventes et locations,,n,,n
